,Data Type,Data,Time
0,temp,10.135,2018/02/23 11:03:35:385599
1,temp,10.135,2018/02/23 11:03:35:385877
2,temp,T-10.135,2018/02/23 11:03:36:372310
3,temp,,2018/02/23 11:03:37:372898
4,temp,10.135,2018/02/23 11:03:37:540046
5,temp,,2018/02/23 11:03:38:542548
6,temp,10.135,2018/02/23 11:03:38:709053
7,temp,,2018/02/23 11:03:39:713021
8,temp,10.135,2018/02/23 11:03:39:875065
9,temp,,2018/02/23 11:03:40:878757
10,temp,10.135,2018/02/23 11:03:41:058681
11,temp,,2018/02/23 11:03:42:062195
12,temp,10.135,2018/02/23 11:03:42:226574
13,temp,,2018/02/23 11:03:43:231616
14,temp,10.135,2018/02/23 11:03:43:393858
15,temp,,2018/02/23 11:03:44:398168
16,temp,10.135,2018/02/23 11:03:44:561826
17,temp,,2018/02/23 11:03:45:567146
18,temp,10.135,2018/02/23 11:03:45:729151
19,temp,,2018/02/23 11:03:46:733506
20,temp,10.135,2018/02/23 11:03:46:912696
21,temp,,2018/02/23 11:03:47:916455
22,temp,10.135,2018/02/23 11:03:48:080575
23,temp,,2018/02/23 11:03:49:083345
24,temp,10.135,2018/02/23 11:03:49:248203
25,temp,,2018/02/23 11:03:50:252659
26,temp,10.135,2018/02/23 11:03:50:415585
27,temp,,2018/02/23 11:03:51:416961
28,temp,10.135,2018/02/23 11:03:51:598985
29,temp,,2018/02/23 11:03:52:602514
30,temp,10.135,2018/02/23 11:03:52:767061
31,temp,,2018/02/23 11:03:53:769907
32,temp,10.135,2018/02/23 11:03:53:934754
33,temp,,2018/02/23 11:03:54:936853
34,temp,10.135,2018/02/23 11:03:55:102241
35,temp,,2018/02/23 11:03:56:105267
36,temp,10.135,2018/02/23 11:03:56:269906
37,temp,,2018/02/23 11:03:57:270561
38,temp,10.135,2018/02/23 11:03:57:453161
39,temp,,2018/02/23 11:03:58:454961
40,temp,10.135,2018/02/23 11:03:58:620919
41,temp,,2018/02/23 11:03:59:625495
42,temp,10.135,2018/02/23 11:03:59:788461
43,temp,,2018/02/23 11:04:00:792891
44,temp,10.135,2018/02/23 11:04:00:956231
45,temp,,2018/02/23 11:04:01:959545
46,temp,10.135,2018/02/23 11:04:02:123905
47,temp,,2018/02/23 11:04:03:125317
48,temp,10.135,2018/02/23 11:04:03:307066
49,temp,,2018/02/23 11:04:04:309384
50,temp,10.135,2018/02/23 11:04:04:474963
51,temp,,2018/02/23 11:04:05:476911
52,temp,10.135,2018/02/23 11:04:05:642695
53,temp,,2018/02/23 11:04:06:643918
54,temp,10.135,2018/02/23 11:04:06:810008
55,temp,,2018/02/23 11:04:07:812873
56,temp,10.135,2018/02/23 11:04:07:977908
57,temp,,2018/02/23 11:04:08:982522
58,temp,10.135,2018/02/23 11:04:09:161329
59,temp,,2018/02/23 11:04:10:161578
60,temp,10.135,2018/02/23 11:04:10:329049
61,temp,Executed/,2018/02/23 11:04:10:344899
62,temp,20.960,2018/02/23 11:04:11:160778
63,temp,20.961,2018/02/23 11:04:11:416503
64,temp,20.961,2018/02/23 11:04:11:656385
65,temp,20.961,2018/02/23 11:04:11:912469
66,temp,20.961,2018/02/23 11:04:12:152301
67,temp,20.960,2018/02/23 11:04:12:408257
68,temp,20.961,2018/02/23 11:04:12:664035
69,temp,20.961,2018/02/23 11:04:12:904050
70,temp,20.961,2018/02/23 11:04:13:159972
71,temp,20.961,2018/02/23 11:04:13:415785
72,temp,20.961,2018/02/23 11:04:13:655868
73,temp,20.961,2018/02/23 11:04:13:911830
74,temp,20.961,2018/02/23 11:04:14:151735
75,temp,20.961,2018/02/23 11:04:14:407776
76,temp,20.961,2018/02/23 11:04:14:663348
77,temp,20.961,2018/02/23 11:04:14:903368
78,temp,20.961,2018/02/23 11:04:15:159281
79,temp,20.961,2018/02/23 11:04:15:418792
80,temp,20.961,2018/02/23 11:04:15:655221
81,temp,20.961,2018/02/23 11:04:15:910890
82,temp,20.961,2018/02/23 11:04:16:166681
83,temp,20.961,2018/02/23 11:04:16:406967
84,temp,20.961,2018/02/23 11:04:16:662716
85,temp,20.961,2018/02/23 11:04:16:902964
86,temp,20.961,2018/02/23 11:04:17:158826
87,temp,20.961,2018/02/23 11:04:17:414361
88,temp,20.962,2018/02/23 11:04:17:659025
89,temp,20.961,2018/02/23 11:04:17:910509
90,temp,20.961,2018/02/23 11:04:18:166289
91,temp,20.961,2018/02/23 11:04:18:406120
92,temp,20.962,2018/02/23 11:04:18:662070
93,temp,20.962,2018/02/23 11:04:18:902206
94,temp,20.962,2018/02/23 11:04:19:158123
95,temp,20.962,2018/02/23 11:04:19:413708
96,temp,20.962,2018/02/23 11:04:19:653884
97,temp,20.962,2018/02/23 11:04:19:909713
98,temp,20.962,2018/02/23 11:04:20:165591
99,temp,20.962,2018/02/23 11:04:20:405899
0,press,20.962,2018/02/23 11:04:22:437275
1,press,20.962,2018/02/23 11:04:22:437818
2,press,20.962,2018/02/23 11:04:22:438434
3,press,20.962,2018/02/23 11:04:22:438793
4,press,20.962,2018/02/23 11:04:22:439097
5,press,20.962,2018/02/23 11:04:22:439481
6,press,20.962,2018/02/23 11:04:22:439863
7,press,20.962,2018/02/23 11:04:22:440118
8,press,P 20.962,2018/02/23 11:04:22:660798
9,press,20.962,2018/02/23 11:04:22:916758
10,press,20.962,2018/02/23 11:04:23:157020
11,press,20.962,2018/02/23 11:04:23:412417
12,press,20.962,2018/02/23 11:04:23:652728
13,press,20.962,2018/02/23 11:04:23:908576
14,press,20.963,2018/02/23 11:04:24:164436
15,press,20.963,2018/02/23 11:04:24:404813
16,press,20.963,2018/02/23 11:04:24:660349
17,press,20.963,2018/02/23 11:04:24:916145
18,press,20.963,2018/02/23 11:04:25:156244
19,press,20.963,2018/02/23 11:04:25:411950
20,press,20.963,2018/02/23 11:04:25:652074
21,press,20.963,2018/02/23 11:04:25:907871
22,press,20.963,2018/02/23 11:04:26:163643
23,press,20.963,2018/02/23 11:04:26:404068
24,press,20.963,2018/02/23 11:04:26:659530
25,press,20.963,2018/02/23 11:04:26:915421
26,press,20.963,2018/02/23 11:04:27:155740
27,press,20.963,2018/02/23 11:04:27:411191
28,press,20.963,2018/02/23 11:04:27:666915
29,press,20.963,2018/02/23 11:04:27:907370
30,press,20.963,2018/02/23 11:04:28:163188
31,press,20.963,2018/02/23 11:04:28:403116
32,press,20.963,2018/02/23 11:04:28:658900
33,press,20.963,2018/02/23 11:04:28:914795
34,press,20.963,2018/02/23 11:04:29:154819
35,press,20.963,2018/02/23 11:04:29:410736
36,press,20.963,2018/02/23 11:04:29:666342
37,press,20.964,2018/02/23 11:04:29:906615
38,press,20.964,2018/02/23 11:04:30:162208
39,press,20.963,2018/02/23 11:04:30:402542
40,press,20.964,2018/02/23 11:04:30:658176
41,press,20.964,2018/02/23 11:04:30:914112
42,press,20.964,2018/02/23 11:04:31:154277
43,press,20.964,2018/02/23 11:04:31:409769
44,press,20.964,2018/02/23 11:04:31:665758
45,press,20.964,2018/02/23 11:04:31:905770
46,press,20.964,2018/02/23 11:04:32:161762
47,press,20.964,2018/02/23 11:04:32:401578
48,press,20.964,2018/02/23 11:04:32:657614
49,press,20.964,2018/02/23 11:04:32:913408
50,press,20.964,2018/02/23 11:04:33:153473
51,press,20.964,2018/02/23 11:04:33:409206
52,press,20.964,2018/02/23 11:04:33:665133
53,press,20.964,2018/02/23 11:04:33:905614
54,press,20.964,2018/02/23 11:04:34:161162
55,press,20.964,2018/02/23 11:04:34:416721
56,press,20.964,2018/02/23 11:04:34:656712
57,press,20.965,2018/02/23 11:04:34:912772
58,press,20.965,2018/02/23 11:04:35:152851
59,press,20.965,2018/02/23 11:04:35:408676
60,press,20.965,2018/02/23 11:04:35:664414
61,press,20.965,2018/02/23 11:04:35:905015
62,press,Executed/,2018/02/23 11:04:35:920454
63,press,  0.13,2018/02/23 11:04:36:752028
64,press,  0.13,2018/02/23 11:04:36:992192
65,press,  0.13,2018/02/23 11:04:37:248090
66,press,  0.13,2018/02/23 11:04:37:488187
67,press,  0.13,2018/02/23 11:04:37:743917
68,press,  0.13,2018/02/23 11:04:37:999686
69,press,  0.13,2018/02/23 11:04:38:239776
70,press,  0.13,2018/02/23 11:04:38:495445
71,press,  0.13,2018/02/23 11:04:38:751426
72,press,  0.13,2018/02/23 11:04:38:991406
73,press,  0.13,2018/02/23 11:04:39:247312
74,press,  0.13,2018/02/23 11:04:39:487263
75,press,  0.13,2018/02/23 11:04:39:743250
76,press,  0.13,2018/02/23 11:04:39:999102
77,press,  0.13,2018/02/23 11:04:40:239075
78,press,  0.13,2018/02/23 11:04:40:494966
79,press,  0.13,2018/02/23 11:04:40:750716
80,press,  0.13,2018/02/23 11:04:40:990737
81,press,  0.13,2018/02/23 11:04:41:246636
82,press,  0.13,2018/02/23 11:04:41:486584
83,press,  0.13,2018/02/23 11:04:41:742593
84,press,  0.13,2018/02/23 11:04:41:998383
85,press,  0.13,2018/02/23 11:04:42:238474
86,press,  0.13,2018/02/23 11:04:42:494345
87,press,  0.13,2018/02/23 11:04:42:750123
88,press,  0.13,2018/02/23 11:04:42:990240
89,press,  0.13,2018/02/23 11:04:43:245819
90,press,  0.13,2018/02/23 11:04:43:501726
91,press,  0.13,2018/02/23 11:04:43:741657
92,press,  0.13,2018/02/23 11:04:43:997658
93,press,  0.13,2018/02/23 11:04:44:237588
94,press,  0.13,2018/02/23 11:04:44:493620
95,press,  0.13,2018/02/23 11:04:44:749381
96,press,  0.13,2018/02/23 11:04:44:989262
97,press,  0.13,2018/02/23 11:04:45:245312
98,press,  0.13,2018/02/23 11:04:45:501091
99,press,  0.13,2018/02/23 11:04:45:741024
0,cond,  0.13,2018/02/23 11:04:47:754336
1,cond,  0.13,2018/02/23 11:04:47:754515
2,cond,  0.13,2018/02/23 11:04:47:754668
3,cond,  0.13,2018/02/23 11:04:47:754814
4,cond,  0.13,2018/02/23 11:04:47:754957
5,cond,  0.13,2018/02/23 11:04:47:755099
6,cond,  0.13,2018/02/23 11:04:47:755240
7,cond,  0.13,2018/02/23 11:04:47:755385
8,cond,C   0.13,2018/02/23 11:04:47:996362
9,cond,  0.13,2018/02/23 11:04:48:252059
10,cond,  0.13,2018/02/23 11:04:48:491959
11,cond,  0.13,2018/02/23 11:04:48:748021
12,cond,  0.13,2018/02/23 11:04:48:988117
13,cond,  0.13,2018/02/23 11:04:49:243939
14,cond,  0.13,2018/02/23 11:04:49:499709
15,cond,  0.13,2018/02/23 11:04:49:739678
16,cond,  0.13,2018/02/23 11:04:49:995653
17,cond,  0.13,2018/02/23 11:04:50:251402
18,cond,  0.13,2018/02/23 11:04:50:491386
19,cond,  0.13,2018/02/23 11:04:50:747288
20,cond,  0.13,2018/02/23 11:04:50:987431
21,cond,  0.13,2018/02/23 11:04:51:243314
22,cond,  0.13,2018/02/23 11:04:51:499032
23,cond,  0.13,2018/02/23 11:04:51:739148
24,cond,  0.13,2018/02/23 11:04:51:994881
25,cond,  0.13,2018/02/23 11:04:52:250763
26,cond,  0.13,2018/02/23 11:04:52:490907
27,cond,  0.13,2018/02/23 11:04:52:746660
28,cond,  0.13,2018/02/23 11:04:53:002300
29,cond,  0.13,2018/02/23 11:04:53:242446
30,cond,  0.13,2018/02/23 11:04:53:498420
31,cond,  0.13,2018/02/23 11:04:53:738487
32,cond,  0.13,2018/02/23 11:04:53:994283
33,cond,  0.13,2018/02/23 11:04:54:250120
34,cond,  0.13,2018/02/23 11:04:54:490505
35,cond,  0.13,2018/02/23 11:04:54:746112
36,cond,  0.13,2018/02/23 11:04:55:001595
37,cond,  0.13,2018/02/23 11:04:55:241752
38,cond,  0.13,2018/02/23 11:04:55:497600
39,cond,  0.13,2018/02/23 11:04:55:738125
40,cond,  0.13,2018/02/23 11:04:55:993586
41,cond,  0.13,2018/02/23 11:04:56:249309
42,cond,  0.13,2018/02/23 11:04:56:489950
43,cond,  0.13,2018/02/23 11:04:56:745223
44,cond,  0.13,2018/02/23 11:04:57:001025
45,cond,  0.13,2018/02/23 11:04:57:241342
46,cond,  0.13,2018/02/23 11:04:57:497095
47,cond,  0.13,2018/02/23 11:04:57:737144
